,sninfo
redshift,0.03112
E(B-V)_MW,0.0436
ra,17:6:54.602
dec,+30:16:17.35
rmax_phase,10.3954291548
rmax_jd,2459005.53340251
gpmax_phase,8.7878787879
gpmax_mag,-18.4094009557
rpmax_phase,12.5757575758
rpmax_mag,-18.5044052802
ipmax_phase,11.5151515152
ipmax_mag,-18.3835383474
Vmax_phase,9.696969697
Vmax_mag,-18.5392517601
Bmax_phase,7.2727272727
Bmax_mag,-17.9390908498
gext,0.163672838
rext,0.1082412446
uext,0.2115869206
iext,0.0809626746
Bext,0.1788007991
Vext,0.1329555453
dm,35.6699644706
name,20lao
sub_only,True
